Reporting Date	Sale Month	Store	Artist	Title	ISRC	UPC	Quantity	Team Percentage	Song/Album	Country of Sale	Songwriter Royalties Withheld	Earnings (USD)
2024-11-22	2024-09	Spotify	ZONE A0	HOLD ON I	QZTAW2496365	198667254765	12	100	Song	NL	0	0.04290829
2024-11-22	2024-09	Spotify	ZONE A0	HOLD ON II	QZTAW2496366	198667254765	3	100	Song	NL	0	0.01204722
2024-11-22	2024-09	Spotify	ZONE A0	HOLD ON I	QZTAW2496365	198667254765	2	100	Song	NO	0	0.00318244
2024-11-22	2024-09	Spotify	ZONE A0	HOLD ON I	QZTAW2496365	198667254765	2	100	Song	NZ	0	0.00950000
2024-11-22	2024-09	Spotify	ZONE A0	HOLD ON II	QZTAW2496366	198667254765	4	100	Song	NZ	0	0.01773376
2024-11-22	2024-09	Spotify	ZONE A0	HOLD ON II	QZTAW2496366	198667254765	2	100	Song	PE	0	0.00008624
2024-11-22	2024-09	Spotify	ZONE A0	HOLD ON II	QZTAW2496366	198667254765	1	100	Song	PH	0	0.00004627
2024-11-22	2024-09	Spotify	ZONE A0	HOLD ON I	QZTAW2496365	198667254765	4	100	Song	PE	0	0.00347902
2024-11-22	2024-09	Spotify	ZONE A0	HOLD ON I	QZTAW2496365	198667254765	4	100	Song	PH	0	0.00285536
2024-11-22	2024-09	Spotify	ZONE A0	HOLD ON I	QZTAW2496365	198667254765	13	100	Song	PL	0	0.01715217
2024-11-22	2024-09	Spotify	ZONE A0	HOLD ON I	QZTAW2496365	198667254765	11	100	Song	PT	0	0.02024627
2024-11-22	2024-09	Spotify	ZONE A0	HOLD ON II	QZTAW2496366	198667254765	15	100	Song	PL	0	0.02709599
2024-11-22	2024-09	Spotify	ZONE A0	HOLD ON II	QZTAW2496366	198667254765	7	100	Song	PT	0	0.01568610
2024-11-22	2024-09	Spotify	ZONE A0	HOLD ON II	QZTAW2496366	198667254765	2	100	Song	RO	0	0.00347482
2024-11-22	2024-09	Spotify	ZONE A0	HOLD ON I	QZTAW2496365	198667254765	2	100	Song	RO	0	0.00268920
2024-11-22	2024-09	Spotify	ZONE A0	HOLD ON II	QZTAW2496366	198667254765	5	100	Song	SE	0	0.02417962
2024-11-22	2024-09	Spotify	ZONE A0	HOLD ON I	QZTAW2496365	198667254765	8	100	Song	SE	0	0.03362809
2024-11-22	2024-09	Spotify	ZONE A0	HOLD ON II	QZTAW2496366	198667254765	10	100	Song	SG	0	0.01649170
2024-11-22	2024-09	Spotify	ZONE A0	HOLD ON I	QZTAW2496365	198667254765	2	100	Song	SI	0	0.00014408
2024-11-22	2024-09	Spotify	ZONE A0	HOLD ON I	QZTAW2496365	198667254765	5	100	Song	SG	0	0.01771693
2024-11-22	2024-09	Spotify	ZONE A0	HOLD ON II	QZTAW2496366	198667254765	1	100	Song	SI	0	0.00141664
2024-11-22	2024-09	Spotify	ZONE A0	HOLD ON I	QZTAW2496365	198667254765	1	100	Song	SK	0	0.00013777
2024-11-22	2024-09	Spotify	ZONE A0	HOLD ON II	QZTAW2496366	198667254765	16	100	Song	TR	0	0.00862394
2024-11-22	2024-09	Spotify	ZONE A0	HOLD ON II	QZTAW2496366	198667254765	3	100	Song	TH	0	0.00295738
2024-11-22	2024-09	Spotify	ZONE A0	HOLD ON I	QZTAW2496365	198667254765	2	100	Song	TH	0	0.00122733
2024-11-22	2024-09	Spotify	ZONE A0	HOLD ON I	QZTAW2496365	198667254765	6	100	Song	TR	0	0.00316562
2024-11-22	2024-09	Spotify	ZONE A0	HOLD ON I	QZTAW2496365	198667254765	1	100	Song	ZA	0	0.00204976
2024-11-22	2024-09	Spotify	ZONE A0	HOLD ON II	QZTAW2496366	198667254765	2	100	Song	TW	0	0.00187097
2024-11-22	2024-09	Spotify	ZONE A0	HOLD ON I	QZTAW2496365	198667254765	1	100	Song	VN	0	0.00128938
2024-11-22	2024-09	Spotify	ZONE A0	HOLD ON I	QZTAW2496365	198667254765	1	100	Song	TW	0	0.00222329
